# EchoMQ v1→v3 — flat agent index
# line: command | feature | status | v3 home | doc

addStandardJob-9 | admission | SHIPPED (ported) | EchoMQ.Jobs.enqueue/4 (@enqueue, jobs.ex:14) | admission/addStandardJob-9.md
add_bulk | batches | SHIPPED (ported) | EchoMQ.Flows.add_bulk/3 (flows.ex:218) + EchoMQ.Jobs.enqueue_many/3 | batches/add_bulk.md
moveJobsToWait-8 | batches | PARTIAL | single-job EchoMQ.Jobs.reprocess_job/3 (jobs.ex:912) + EchoMQ.Jobs.promote/3 (jobs.ex:644) exist; a bulk requeue_set(state, count) is PROPOSED | batches/moveJobsToWait-8.md
moveToActive-11 | claim | SHIPPED (ported) | EchoMQ.Jobs.claim/4 (@claim, jobs.ex:379) + grouped EchoMQ.Lanes.claim/3 (@gclaim, lanes.ex:130) | claim/moveToActive-11.md
moveJobFromActiveToWait-9 | claim | PARTIAL (partial) | recovery EchoMQ.Jobs.reap/2 (@reap, jobs.ex:651) + Stalled.check/3; a token-fenced voluntary requeue is PROPOSED | claim/moveJobFromActiveToWait-9.md
moveStalledJobsToWait-8 | claim | SHIPPED (ported) | EchoMQ.Stalled.check/3 (@sweep_stalled) | claim/moveStalledJobsToWait-8.md
updateData-1 | data | SHIPPED (ported) | EchoMQ.Jobs.update_data/4 (@update_data, jobs.ex:686) | data/updateData-1.md
updateProgress-3 | data | SHIPPED (ported) | EchoMQ.Jobs.update_progress/4 (@update_progress, jobs.ex:720; the v2 form is a PUBLISH emq:{q}:events, NOT an XADD — D-5/D-6) | data/updateProgress-3.md
addLog-2 | data | SHIPPED (ported) | EchoMQ.Jobs.add_log/5 + get_job_logs/3 (@add_log, jobs.ex:750) | data/addLog-2.md
saveStacktrace-1 | data | NOT YET (folded) | today the failure record is a single last_error field set by @retry's dead-letter arm (jobs.ex:593); a dedicated @save_stacktrace is PROPOSED | data/saveStacktrace-1.md
addParentJob-6 | flows | SHIPPED (ported) | EchoMQ.Flows.add/3 + add_bulk/3 (@enqueue_flow/@hold_parent/@enqueue_flow_child, flows.ex:39/:73/:98) | flows/addParentJob-6.md
moveToFinished-14 | flows | SHIPPED (ported) | EchoMQ.Jobs.complete/5 (@complete, jobs.ex:456) | flows/moveToFinished-14.md
moveToWaitingChildren-7 | flows | PARTIAL | fan-in in Flows/@complete; explicit await_children/… PROPOSED | flows/moveToWaitingChildren-7.md
getDependencyCounts-4 | flows | PARTIAL (split, not aggregated) | EchoMQ.Flows.dependencies/3 (flows.ex:332) + children_values/3/ignored_failures/3; aggregate child_counts/3 PROPOSED | flows/getDependencyCounts-4.md
grandchildren-recursive-flow-tree | flows | BUILDING (`[RECONCILE]`) | recursive add/3 over the byte-frozen @enqueue_flow/@hold_parent/@enqueue_flow_child/@complete | flows/grandchildren-recursive-flow-tree.md
addPrioritizedJob-9 | groups | SHIPPED (ported, re-aimed) | EchoMQ.Lanes.enqueue/5 (@genqueue, lanes.ex:102), no prioritized set (D-9) | groups/addPrioritizedJob-9.md
changePriority-7 | groups | RETIRED (capability retired by design, §6) | no priority re-score; Lanes group re-assignment / weighted rotation (emq.4) | groups/changePriority-7.md
getCountsPerPriority-4 | groups | RETIRED (retired by design) | re-derived as per-lane depth EchoMQ.Metrics.lane_depths/3 (also metrics: per-lane / per-instrument backlog the trading bus reads) | groups/getCountsPerPriority-4.md
removeJob-2 | lifecycle | SHIPPED (ported) | EchoMQ.Jobs.remove_job/4 (@remove_job, jobs.ex:819; refuses locked EMQLOCK, -1→:gone) | lifecycle/removeJob-2.md
removeChildDependency-1 | lifecycle | NOT YET (as a named verb) | - | lifecycle/removeChildDependency-1.md
removeDeduplicationKey-1 | lifecycle | PARTIAL (folded) | folded into @remove_job's de: branch (jobs.ex:819); standalone release_dedup/3 PROPOSED | lifecycle/removeDeduplicationKey-1.md
removeUnprocessedChildren-2 | lifecycle | NOT YET | - | lifecycle/removeUnprocessedChildren-2.md
cleanJobsInSet-3 | lifecycle | PARTIAL | Admin.drain/3 is predicate-free today; Admin.clean/4 (server-clock age grace + limit) PROPOSED. (also batches) | lifecycle/cleanJobsInSet-3.md
drain-5 | lifecycle | SHIPPED (ported) | EchoMQ.Admin.drain/3 (@drain, admin.ex:109) | lifecycle/drain-5.md
obliterate-2 | lifecycle | SHIPPED (ported) | EchoMQ.Admin.obliterate/3 (@obliterate, admin.ex:248) | lifecycle/obliterate-2.md
pause-7 | lifecycle | SHIPPED (ported) | EchoMQ.Admin.pause/2 + resume/2 (@pause/@resume, admin.ex:54/:66; a paused FIELD on emq:{q}:meta, no wait↔paused RENAME) | lifecycle/pause-7.md
extendLock-2 | locks | SHIPPED (ported) | EchoMQ.Jobs.extend_lock/5 (@extend_lock, jobs.ex:940) | locks/extendLock-2.md
extendLocks-1 | locks | SHIPPED (ported) | EchoMQ.Jobs.extend_locks/4 (@extend_locks, jobs.ex:965) | locks/extendLocks-1.md
releaseLock-1 | locks | SHIPPED (ported, re-split) | EchoMQ.Locks.untrack_job/2 (the lease releases by natural active-score expiry / complete) | locks/releaseLock-1.md
getCounts-1 | metrics | SHIPPED (ported) | EchoMQ.Metrics.get_counts/3 (@counts, metrics.ex:54) | metrics/getCounts-1.md
getState-8 | metrics | SHIPPED (ported) | EchoMQ.Metrics.get_job_state/3 (@state_lookup, metrics.ex:148) | metrics/getState-8.md
getStateV2-8 | metrics | SHIPPED (subsumed) | folded into EchoMQ.Metrics.get_job_state/3 (@state_lookup, metrics.ex:148) | metrics/getStateV2-8.md
getMetrics-2 | metrics | PARTIAL | EchoMQ.Metrics.get_metrics/3 (metrics.ex:173) | metrics/getMetrics-2.md
getRanges-1 | metrics | NOT YET | no def get_ranges; closest as-built EchoMQ.Jobs.browse/3 + Metrics.get_counts/3 | metrics/getRanges-1.md
